RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
336,"Trey Burke, PG",UTAH,76,30.1,-0.18,-2.52,-2.7,-0.5
335,"Kris Humphries, PF",WSH,64,21,-2.46,-0.24,-2.7,-0.3
338,"Bryce Cotton, PG",UTAH,15,10.6,-0.46,-2.25,-2.71,0
337,"Chris Copeland, SF",IND,50,16.6,-0.94,-1.77,-2.71,-0.2
341,"Ryan Kelly, PF",LAL,52,23.7,-1.93,-0.79,-2.72,-0.3
340,"Enes Kanter, C",OKC/UTAH,75,28.5,1.15,-3.87,-2.72,-0.5
339,"Andrei Kirilenko, SF",BKN,7,5.1,-1.36,-1.36,-2.72,0
342,"Rasual Butler, SF",WSH,75,20.1,-0.98,-1.77,-2.75,-0.4
344,"Grant Jerrett, PF",OKC/UTAH,8,6.4,-1.67,-1.11,-2.78,0
343,"Greivis Vasquez, PG",TOR,82,24.3,-0.57,-2.21,-2.78,-0.5
345,"CJ Wilcox, SG",LAC,21,4.8,-1.49,-1.3,-2.79,0
346,"Anderson Varejao, C",CLE,26,24.5,-2.23,-0.57,-2.8,-0.2
351,"Noah Vonleh, PF",CHA,25,10.4,-2.69,-0.12,-2.81,-0.1
350,"Jamaal Franklin, SG",DEN,3,4.3,-1.04,-1.77,-2.81,0
349,"Hollis Thompson, SF",PHI,71,25,-1.01,-1.8,-2.81,-0.5
348,"John Henson, PF",MIL,67,18.3,-4.13,1.32,-2.81,-0.4
347,"Ramon Sessions, PG",SAC/WSH,64,18.6,-2.5,-0.31,-2.81,-0.3
352,"Jeremy Lamb, SG",OKC,47,13.5,-1.42,-1.4,-2.82,-0.2
354,"Dwight Buycks, PG",LAL,6,20.5,-0.43,-2.4,-2.83,0
353,"Jimmer Fredette, PG",NO,50,10.2,-0.88,-1.95,-2.83,-0.2
357,"Isaiah Canaan, PG",HOU/PHI,47,20,-1.07,-1.77,-2.84,-0.3
356,"Drew Gordon, C",PHI,9,7.9,-2.35,-0.49,-2.84,0
355,"Jorge Gutierrez, PG",MIL/BKN,20,8.8,-1.75,-1.09,-2.84,0
358,"Jameer Nelson, PG",BOS/DAL/DEN,63,22.3,-0.37,-2.49,-2.86,-0.5
360,"Jerel McNeal, SG",PHX,6,6,-1.68,-1.21,-2.89,0
359,"Jerryd Bayless, PG",MIL,77,22.3,-2.36,-0.53,-2.89,-0.6
362,"Austin Daye, SF",ATL/SA,34,10.1,-2.35,-0.56,-2.91,-0.1
361,"Brendan Haywood, C",CLE,22,5.4,-2.65,-0.26,-2.91,0
363,"Arron Afflalo, SG",DEN/POR,78,32.1,-1.07,-1.86,-2.93,-0.9
364,"Chris Douglas-Roberts, SG",LAC,12,8.6,-1.27,-1.68,-2.95,0
365,"Jon Leuer, PF",MEM,63,13.1,-3.69,0.7,-2.99,-0.3
366,"Brian Roberts, PG",CHA,72,18.5,-0.64,-2.36,-3,-0.5
367,"Jeff Ayres, PF",SA,51,7.5,-1.24,-1.78,-3.02,-0.2
370,"Ian Clark, SG",DEN/UTAH,30,6.4,-1.02,-2.02,-3.04,-0.1
369,"Alec Burks, SG",UTAH,27,33.3,-0.32,-2.72,-3.04,-0.4
368,"Gerald Green, SG",PHX,74,19.5,0.29,-3.33,-3.04,-0.6
371,"Charlie Villanueva, PF",DAL,64,10.6,-0.65,-2.4,-3.05,-0.3
372,"Bruno Caboclo, SF",TOR,8,2.9,-1.42,-1.64,-3.06,0
373,"Norris Cole, PG",NO/MIA,75,24.4,-1.25,-1.85,-3.1,-0.8
374,"Marcus Thornton, SG",BOS/PHX,48,15,-1.42,-1.69,-3.11,-0.4
375,"Marco Belinelli, SG",SA,62,22.4,0,-3.12,-3.12,-0.7
376,"Tony Parker, PG",SA,68,28.7,0.18,-3.33,-3.15,-1
377,"A.J. Price, PG",CLE/IND/PHX,26,12.5,-0.75,-2.42,-3.17,-0.1
378,"Rajon Rondo, PG",BOS/DAL,68,29.7,-3.55,0.34,-3.21,-1.1
379,"Kyle Anderson, SF",SA,33,10.8,-2.39,-0.87,-3.26,-0.2
381,"Cole Aldrich, C",NY,61,16,-4.78,1.51,-3.27,-0.5
380,"JaVale McGee, C",DEN/PHI,23,11.1,-1.47,-1.8,-3.27,-0.2
382,"Allen Crabbe, SG",POR,51,13.4,-2.6,-0.68,-3.28,-0.4
383,"Jerome Jordan, C",BKN,44,8.7,-2.65,-0.65,-3.3,-0.2
384,"Kostas Papanikolaou, SF",HOU,43,18.5,-2.72,-0.61,-3.33,-0.5
385,"Jodie Meeks, SG",DET,60,24.4,-0.96,-2.38,-3.34,-0.9
387,"Kent Bazemore, SG",ATL,75,17.7,-3.39,0.03,-3.36,-0.8
386,"Samuel Dalembert, C",NY,32,17,-4.76,1.4,-3.36,-0.3
388,"Damjan Rudez, SF",IND,68,15.4,-1.31,-2.09,-3.4,-0.7
389,"Travis Wear, SF",NY,51,13.2,-3.04,-0.39,-3.43,-0.4
390,"Zoran Dragic, SG",MIA/PHX,16,4.7,-1.52,-1.92,-3.44,-0.1
391,"Luke Babbitt, SF",NO,63,13.2,-1.66,-1.85,-3.51,-0.6
392,"Dion Waiters, SG",CLE/OKC,80,27.6,-2.35,-1.17,-3.52,-1.7
394,"Ish Smith, PG",PHI/OKC,55,15.1,-1.95,-1.58,-3.53,-0.6
393,"James Jones, SG",CLE,57,11.7,-0.24,-3.29,-3.53,-0.5
396,"Furkan Aldemir, PF",PHI,41,13.2,-1.26,-2.29,-3.55,-0.4
395,"Chase Budinger, SF",MIN,67,19.2,-1.81,-1.74,-3.55,-1
397,"Jeff Green, SF",BOS/MEM,78,31.5,-1.51,-2.05,-3.56,-1.9
399,"Markel Brown, SG",BKN,47,16.6,-1.8,-1.85,-3.65,-0.6
398,"Jarrett Jack, PG",BKN,80,28,-2.06,-1.59,-3.65,-1.8
401,"Gary Neal, PG",MIN/CHA,54,22.1,-1.17,-2.51,-3.68,-1
400,"Alonzo Gee, SF",DEN/POR,54,12.3,-1.38,-2.3,-3.68,-0.6
402,"Dennis Schroder, PG",ATL,77,19.7,-0.78,-2.93,-3.71,-1.2
403,"Jason Maxiell, PF",CHA,61,14.4,-3.73,0.01,-3.72,-0.8
404,"TJ Warren, SF",PHX,40,15.4,-2.51,-1.22,-3.73,-0.5
408,"James Young, SG",BOS,31,10.7,-1.69,-2.07,-3.76,-0.3
407,"Spencer Dinwiddie, PG",DET,34,13.4,-2.55,-1.21,-3.76,-0.4
406,"Robbie Hummel, SF",MIN,45,16.5,-1.31,-2.45,-3.76,-0.7
405,"Steve Novak, SF",OKC/UTAH,35,5.6,-1.48,-2.28,-3.76,-0.2
409,"Carl Landry, PF",SAC,70,17,-2.99,-0.8,-3.79,-1.1
412,"Tim Hardaway Jr., SF",NY,70,24,-0.42,-3.39,-3.81,-1.5
411,"Erick Green, PG",DEN,43,9.5,-1.29,-2.52,-3.81,-0.4
410,"Chris Kaman, C",POR,74,18.9,-2.56,-1.25,-3.81,-1.3
414,"Phil Pressey, PG",BOS,50,12,-3.1,-0.78,-3.88,-0.6
413,"John Salmons, SF",NO,21,12.9,-2.55,-1.33,-3.88,-0.3
415,"Henry Sims, C",PHI,73,19.2,-4.18,0.28,-3.9,-1.4
416,"Kendrick Perkins, C",CLE/OKC,68,16.9,-4.97,1.06,-3.91,-1.1
417,"Kevin Seraphin, C",WSH,79,15.6,-3.68,-0.28,-3.96,-1.2
419,"Matt Bonner, C",SA,72,13,-1.45,-2.52,-3.97,-0.9
418,"Shawn Marion, SG",CLE,57,19.3,-2.24,-1.73,-3.97,-1.1
420,"Dahntay Jones, SG",LAC,33,3.7,-2.26,-1.73,-3.99,-0.1
421,"D.J. Augustin, PG",DET/OKC,82,24,-0.76,-3.24,-4,-2
422,"Jose Calderon, PG",NY,42,30.2,-1.27,-2.75,-4.02,-1.3
423,"Willie Green, SG",ORL,52,18.3,-3.67,-0.36,-4.03,-1
424,"Austin Rivers, PG",NO/LAC,76,20.6,-2.44,-1.61,-4.05,-1.6
425,"Bojan Bogdanovic, SF",BKN,78,23.8,-0.16,-3.93,-4.09,-1.9
426,"Carlos Boozer, PF",LAL,71,23.8,-1.74,-2.36,-4.1,-1.8
427,"Andrew Nicholson, PF",ORL,40,12.3,-3.12,-1.02,-4.14,-0.5
428,"Tony Wroten, SG",PHI,30,29.8,-0.34,-3.84,-4.18,-1.1
429,"Raymond Felton, PG",DAL,29,9.7,-2.85,-1.34,-4.19,-0.3
430,"Kirk Hinrich, SG",CHI,66,24.4,-2.37,-1.83,-4.2,-1.8
431,"DeJuan Blair, C",WSH,29,6.2,-2.96,-1.3,-4.26,-0.2
432,"P.J. Hairston, SF",CHA,45,15.3,-1.59,-2.68,-4.27,-0.8
434,"Nik Stauskas, SG",SAC,73,15.4,-1.88,-2.45,-4.33,-1.4
433,"Shane Larkin, PG",NY,76,24.5,-2.54,-1.79,-4.33,-2.2
436,"Jabari Parker, PF",MIL,25,29.5,-1.68,-2.66,-4.34,-0.9
435,"Danny Granger, SF",MIA,30,20.4,-2.15,-2.19,-4.34,-0.7
437,"Jordan Hill, C",LAL,70,26.8,-2.95,-1.42,-4.37,-2.3
439,"KJ McDaniels, SG",HOU/PHI,62,21.8,-3.88,-0.5,-4.38,-1.7
438,"Randy Foye, SG",DEN,50,21.7,-1.92,-2.46,-4.38,-1.4
441,"John Lucas III, PG",DET,21,13,-1.66,-2.75,-4.41,-0.3
440,"Tayshaun Prince, SF",BOS/DET/MEM,58,24.1,-2.31,-2.1,-4.41,-1.7
443,"Ray McCallum, PG",SAC,68,21.1,-1.48,-2.95,-4.43,-1.9
442,"Udonis Haslem, PF",MIA,62,16,-4.12,-0.31,-4.43,-1.3
444,"Joffrey Lauvergne, C",DEN,24,11.2,-2.87,-1.71,-4.58,-0.4
446,"Nick Johnson, SG",HOU,28,9.4,-3.65,-0.95,-4.6,-0.4
445,"JJ Hickson, C",DEN,73,19.3,-3.47,-1.13,-4.6,-2
447,"Nate Robinson, PG",DEN/LAC,42,14.1,-2.93,-1.73,-4.66,-0.7
448,"Lance Thomas, SF",NY/OKC,62,24,-3.07,-1.64,-4.71,-2.1
449,"Luke Ridnour, PG",ORL,47,14.5,-2.58,-2.14,-4.72,-1
450,"Brandon Davies, PF",BKN/PHI,27,15.7,-1.82,-2.95,-4.77,-0.7
451,"Jason Smith, PF",NY,82,21.8,-1.41,-3.37,-4.78,-2.6
452,"Lance Stephenson, SG",CHA,61,25.8,-4.6,-0.22,-4.82,-2.4
453,"Troy Daniels, SG",HOU/MIN/CHA,47,8.4,-2.18,-2.65,-4.83,-0.6
454,"Landry Fields, SG",TOR,26,8.3,-3.03,-1.84,-4.87,-0.3
455,"Cleanthony Early, SF",NY,39,16.6,-4.56,-0.35,-4.91,-1
456,"Tyler Ennis, PG",MIL/PHX,33,12.5,-2.28,-2.74,-5.02,-0.7
457,"Jeffery Taylor, SF",CHA,29,14.8,-3.47,-1.68,-5.15,-0.7
458,"Doug McDermott, SF",CHI,36,8.9,-3.26,-2.02,-5.28,-0.6
459,"Andrea Bargnani, C",NY,29,27.1,-1.72,-3.57,-5.29,-1.4
460,"JaKarr Sampson, SF",PHI,74,15.3,-3.09,-2.29,-5.38,-2.2
461,"Derrick Williams, PF",SAC,74,19.8,-0.89,-4.59,-5.48,-2.9
462,"Mike Miller, SG",CLE,52,13.5,-4.3,-1.25,-5.55,-1.4
463,"Joe Harris, SG",CLE,51,9.7,-2.17,-3.59,-5.76,-1
464,"Ben Gordon, SG",ORL,56,14.1,-2.31,-3.48,-5.79,-1.7
465,"Perry Jones, SF",OKC,43,14.7,-3.79,-2.07,-5.86,-1.4
466,"Jabari Brown, SG",LAL,19,29.9,-1.78,-4.23,-6.01,-1.2
468,"Johnny O'Bryant III, PF",MIL,34,10.8,-4.72,-1.52,-6.24,-0.9
467,"Adreian Payne, PF",ATL/MIN,32,23.1,-3.14,-3.1,-6.24,-1.8
469,"Martell Webster, SF",WSH,32,11,-3.4,-2.89,-6.29,-0.8
470,"Archie Goodwin, SG",PHX,41,13,-3.95,-2.51,-6.46,-1.4
471,"Zach LaVine, PG",MIN,77,24.7,-2.53,-4.34,-6.87,-5.3
472,"Anthony Bennett, PF",MIN,57,15.7,-3.78,-3.21,-6.99,-2.6
473,"Gary Harris, SG",DEN,55,13.1,-4.66,-2.39,-7.05,-2.2
474,"Brandon Rush, SG",GS,33,8.2,-4.2,-3.26,-7.46,-0.9
